T (K),T Inhibited (K) (If Applicable),P (MPa),Structure,Small Cage Occupancy,Large Cage Occupancy,Hydration Number,Hydrate Density (kg/m3)
200.8,200.8,0.0072469042458565384,I,[1.7872153063933802e-05],[0.9970034353028441],7.689663430354464,37293.050666652336
215.7,215.7,0.022167944676625306,I,[3.432075672776606e-05],[0.9953016182369705],7.702769094885492,37159.98797397859
230.2,230.2,0.05631297558041028,I,[6.660963477713197e-05],[0.9937652063164996],7.714594281595141,37022.48538177726
240.4,240.4,0.10056011773604706,I,[9.788638262053252e-05],[0.9922590361195858],7.726222982365496,36921.20306703429
273.68,273.68,0.5211358406315151,I,[0.00031261246521508963],[0.9871402299585048],7.765722856214819,36567.2015333252
274.7,274.7,0.589149061917494,I,[0.0003481576606590365],[0.9879060366394811],7.759610590213026,36556.41690170489
275.64,275.64,0.6600156668458623,I,[0.0003850583457645085],[0.9885919666611596],7.754130784917103,36546.54930089299
276.62,276.62,0.7435045725506448,I,[0.0004260967390798709],[0.9892294950443375],7.749026988537991,36536.350341228914
277.61,277.61,0.8393271972675083,I,[0.0004747698289095906],[0.9898994258531081],7.743656559076456,36526.158506236876
278.66,278.66,0.9557440613408433,I,[0.0005299899327925503],[0.9905244954626018],7.738626929797721,36515.498785715754
279.65,279.65,1.081764271923931,I,[0.0005881370906982103],[0.9910843577687752],7.734104941309013,36505.61883980104
280.67,280.67,1.2313570897155852,I,[0.0006516449751996257],[0.9915903257883367],7.729994329985363,36495.65406379644
281.63,281.63,1.394372580831233,I,[0.0007211219281588964],[0.9920805015481423],7.725995548180658,36486.52406791152
282.66,282.66,1.6018470839418637,I,[0.0008017353439387082],[0.9925571265182003],7.722077424487172,36477.10616535577
283.49,283.49,1.7928569689744764,I,[0.0008757974388322048],[0.9929427919478783],7.718887064772947,36469.79178116425
284.63,284.63,2.104858177836767,I,[0.0009855914744672453],[0.9934213429078118],7.714885678869522,36460.33623220713
285.48,285.48,2.3865643212904577,I,[0.0010759049743198587],[0.9937561976797681],7.712053391323181,36453.87926327733
286.5,286.5,2.8039868037391074,I,[0.001200210595772845],[0.9941613517370589],7.7085904375272625,36447.10525015569
287.61,287.61,3.4266438412304243,I,[0.0013444177953879498],[0.994544614372008],7.705248745422133,36441.83166913979
