T (K),P (Mpa),Structure,Small Cage Occupancy,Large Cage Occupancy
245.1,0.04174247,II,[2.760075270481497e-38],[0.9965197003597323]
260.4,0.087338544,II,[2.760075270481497e-38],[0.9965197003597323]
261.2,0.09049286,II,[2.760075270481497e-38],[0.9965197003597323]
268.3,0.122463133,II,[2.760075270481497e-38],[0.9965197003597323]
270.8,0.135541125,II,[2.760075270481497e-38],[0.9965197003597323]
273.55,0.178117105,II,[2.760075270481497e-38],[0.9965197003597323]
273.89,0.191408076,II,[2.760075270481497e-38],[0.9965197003597323]
274.52,0.218819447,II,[2.760075270481497e-38],[0.9965197003597323]
275.47,0.268153348,II,[2.760075270481497e-38],[0.9965197003597323]
276.36,0.325108926,II,[2.760075270481497e-38],[0.9965197003597323]
277.32,0.401435436,II,[2.760075270481497e-38],[0.9965197003597323]
277.87,0.453858144,II,[2.760075270481497e-38],[0.9965197003597323]
278.03,0.470505652,II,[2.760075270481497e-38],[0.9965197003597323]
278.3,0.500177464,II,[2.760075270481497e-38],[0.9965197003597323]
278.52,0.525926609,II,[2.760075270481497e-38],[0.9965197003597323]
