T (K),P (Mpa),Structure,Small Cage,Large Cage
250.5,0.0345,I,0.357720977,0.999942385
255.4,0.0441,I,0.349546755,0.999930358
258.2,0.0503,I,0.343949557,0.999922172
260.9,0.0565,I,0.336878101,0.999912771
263.7,0.0641,I,0.331544921,0.99990282
265.3,0.0689,I,0.328832047,0.99989684
266.5,0.0724,I,0.325926163,0.999891691
269.3,0.0814,I,0.319979876,0.999879207
272,0.0903,I,0.312881895,0.999865031
272.8,0.0931,I,0.310855314,0.999860588
277.6,0.1572,I,0.375506422,0.999881867
283.2,0.2799,I,0.449703184,0.999900119
285.2,0.3447,I,0.4776894,0.999906317
288.7,0.4992,I,0.528318379,0.999916842
291.8,0.6895,I,0.571205945,0.999924768
294.3,0.8901,I,0.603460155,0.999930166
295.7,1.0342,I,0.622422029,0.999933407
298.5,1.379,I,0.655785425,0.999938511
299.8,1.5961,I,0.672740205,0.999941299
300.5,1.7237,I,0.681146621,0.999942601
302,2.0684,I,0.701292245,0.999945978
302.7,2.2387,I,0.709075543,0.999947127
