T (K),T Inhibited (K),P (MPa),Structure,Small Cage Occupancy,Large Cage Occupancy,Hydration Number,Hydrate Density (kg/m3)
250.5,250.5,0.03713512961687402,I,[0.357720977223108],[0.9999423848657046],6.85,1021.29
255.4,255.4,0.045633033675558654,I,[0.34954675530603607],[0.9999303582265875],6.87,1019.31
258.2,258.2,0.051296060200357665,I,[0.3439495568837802],[0.9999221720377167],6.88,1018.11
260.9,260.9,0.05739283325990724,I,[0.3368781009965319],[0.9999127709901164],6.89,1016.83
263.7,263.7,0.06445018366519072,I,[0.33154492097333116],[0.9999028199773925],6.9,1015.62
265.3,265.3,0.06885119267386922,I,[0.3288320468527417],[0.9998968396822541],6.91,1014.96
266.5,266.5,0.07234087948774422,I,[0.3259261625922202],[0.9998916906845889],6.92,1014.4
269.3,269.3,0.08116087658316844,I,[0.3199798763954779],[0.9998792073218477],6.93,1013.14
272.0,272.0,0.09064588439923896,I,[0.3128818948595119],[0.9998650305609723],6.94,1011.83
272.8,272.8,0.0936566366085751,I,[0.3108553139514693],[0.9998605876338589],6.95,1011.45
277.6,277.6,0.1590030544159792,I,[0.375506422120095],[0.9998818674043045],6.81,1014.17
283.2,283.2,0.28672454364217764,I,[0.44970318409957],[0.999900118513069],6.67,1017.25
285.2,285.2,0.3540267773808257,I,[0.4776893997587207],[0.9999063167771676],6.61,1018.44
288.7,288.7,0.5130958429127248,I,[0.5283183789943915],[0.9999168417126192],6.52,1020.62
291.8,291.8,0.716071699116551,I,[0.5712059448770014],[0.9999247683688098],6.44,1022.44
294.3,294.3,0.9426660790132084,I,[0.6034601545612331],[0.9999301658492132],6.38,1023.77
295.7,295.7,1.104138373016961,I,[0.6224220286973455],[0.9999334069737537],6.35,1024.58
298.5,298.5,1.6083846042863987,I,[0.6557854252660583],[0.9999385112952931],6.29,1025.95
299.8,299.8,1.8853698472194431,I,[0.6727402050791321],[0.9999412990234563],6.26,1026.7
300.5,300.5,2.058495181764,I,[0.6811466209845578],[0.9999426011981939],6.25,1027.06
302.0,302.0,2.5031577169046892,I,[0.7012922453180767],[0.9999459783526405],6.21,1028.0
302.7,302.7,2.7550545058868328,I,[0.709075542669118],[0.999947126726195],6.2,1028.35
