T (K),P (Mpa),CH4,C2H6,C3H8,i-C4H10,C5H12,C6H14,CO2,H2S,N2,O2
277.7,1.6,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
279.1,1.924,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
281.8,2.648,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
283.9,3.392,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
286.7,4.82,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
289.2,6.964,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
290.2,8.136,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
291.2,9.481,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
292.1,10.501,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
293.3,13.78,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
294,17.16,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
295,20.264,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
295.6,22.99,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
296.7,27.5,0.932,0.0425,0.0161,,,,0.0051,,0.0043,
