T (K),P (Mpa),Structure,Small Cage,Large Cage
271.35,10.6702,II,0.608958079,0.993784576
271.75,10.6579,II,0.613217449,0.993882539
271.95,10.6513,II,0.616172463,0.993951954
272.15,10.6444,II,0.619423873,0.994028217
272.35,10.6371,II,0.62177724,0.994081538
272.55,10.6296,II,0.625766621,0.994174776
272.85,10.6176,II,0.628993673,0.994245918
273.15,12.1955,II,0.633075063,0.994337063
273.65,12.8301,II,0.640903074,0.99451101
274.15,13.5028,II,0.652285887,0.994762866
274.65,14.2167,II,0.652288477,0.994751423
274.85,14.5144,II,0.65519352,0.994812961
275.15,14.9749,II,0.660746957,0.994931176
275.85,16.1177,II,0.669562382,0.995110597
276.75,17.7427,II,0.683479077,0.995390396
277.85,20.0035,II,0.695998527,0.995628692
278.15,20.6795,II,0.707278891,0.995850182
278.45,21.3833,II,0.710686055,0.995912146
278.55,21.6244,II,0.710044063,0.995897748
279.15,23.1423,II,0.721273263,0.996105723
280.15,25.9725,II,0.735974398,0.996366585
281.25,29.5911,II,0.752748029,0.996654816
281.75,31.4388,II,0.756961365,0.996722511
281.95,32.2172,II,0.762548965,0.996817752
283.25,37.8931,II,0.782808392,0.997146203
283.45,38.871,II,0.78473072,0.997175762
283.75,40.396,II,0.793130408,0.997310235
284.15,42.5437,II,0.804647965,0.997490768
285.25,49.2027,II,0.811640978,0.997589641
286.25,56.3739,II,0.823476745,0.997763088
286.35,57.158,II,0.830015325,0.997861374
287.25,64.8378,II,0.841514562,0.998024946
287.35,65.7654,II,0.841663446,0.998026328
288.15,73.7904,II,0.854282421,0.998203541
289.25,86.844,II,0.868270969,0.998393964
290.25,101.225,II,0.882304404,0.998581255
290.75,109.516,II,0.888200637,0.998658221
291.15,116.771,II,0.89601784,0.998760503
