T (K),T Inhibited (K),P (MPa),Structure,Small Cage Occupancy,Large Cage Occupancy,Hydration Number,Hydrate Density (kg/m3)
271.35,271.35,19.243872521449635,II,[0.6186174684964901],[0.9940363676267882],7.62,972.41
271.75,271.75,19.258059214327737,II,[0.6163821425492875],[0.9939683443916537],7.63,971.96
271.95,271.95,19.26943702807439,II,[0.6152155451506078],[0.9939328919543857],7.64,971.74
272.15,272.15,19.28365457697833,II,[0.6140163239970232],[0.9938964627806315],7.65,971.5
272.35,272.35,19.30070141350561,II,[0.612782419064018],[0.9938589916988422],7.66,971.26
272.55,272.55,19.32056864616972,II,[0.6115179368462494],[0.9938205702184435],7.67,971.02
272.85,272.85,25.330846425383676,II,[0.6095561402138936],[0.9937609282321935],7.68,972.62
273.15,273.15,26.347811106315937,II,[0.6376886665226884],[0.9944486413229588],7.49,977.6
273.65,273.65,28.190115689552965,II,[0.6454059093474976],[0.9946164783501298],7.44,979.41
274.15,274.15,30.239414619609267,II,[0.6529685311824954],[0.9947776032769102],7.39,981.26
274.65,274.65,32.52612029373787,II,[0.6603887411314223],[0.9949326013475603],7.34,983.16
274.85,274.85,33.515102098006004,II,[0.66331768028776],[0.9949929635334267],7.32,983.93
275.15,275.15,35.08610138102576,II,[0.6676749620220903],[0.9950819321926392],7.29,985.12
275.85,275.85,39.21167085156742,II,[0.6776728488376912],[0.9952824157109526],7.23,988.02
276.75,276.75,45.6655804088938,II,[0.6902267663864452],[0.9955272923761224],7.15,992.08
277.85,277.85,55.90423091944102,II,[0.7052073312542871],[0.9958101755414198],7.07,997.73
278.15,278.15,59.27666760230827,II,[0.7092411147913819],[0.9958847137134876],7.04,999.45
278.45,278.45,62.95290523631313,II,[0.7132570725264459],[0.9959582620074828],7.02,1001.27
278.55,278.55,64.2520525937706,II,[0.7145929707701675],[0.9959825850478962],7.01,1001.89
279.15,279.15,72.93178588715813,II,[0.7225800310861977],[0.9961265491305663],6.96,1005.93
280.15,280.15,91.73060886428058,II,[0.7358455321527051],[0.9963603673429227],6.89,1014.0
281.25,281.25,122.26473229567314,II,[0.7504898043442902],[0.9966112821727884],6.81,1025.85
281.75,281.75,141.87447134458844,II,[0.7572057210637055],[0.9967239619174255],6.77,1032.9
281.95,281.95,151.27744546635347,II,[0.7599073880844309],[0.9967688813172136],6.76,1036.16
283.25,283.25,296.56943379424,II,[0.777757423862014],[0.9970599718850636],6.66,1078.68
283.45,283.45,283.3460551732473,II,[0.7805572971437192],[0.9971047576530468],6.65,1075.88
283.75,283.75,261.40327955496895,II,[0.7847889133391949],[0.9971720075172932],6.62,1070.99
284.15,284.15,223.981035675979,II,[0.7904939268030284],[0.9972618488137968],6.59,1061.93
285.25,285.25,31.308452076678364,II,[0.8066016207180057],[0.9975105168402686],6.51,1005.06
286.25,286.25,33.595728654020135,II,[0.8218431665214566],[0.9977392121732096],6.44,1008.17
286.35,286.35,33.83154593368233,II,[0.823400972757744],[0.9977622332928874],6.43,1008.49
287.25,287.25,65.31629063447437,II,[0.8377067302390777],[0.9979706401002545],6.36,1021.21
287.35,287.35,65.76816150730872,II,[0.8393279691969272],[0.9979939204471734],6.35,1021.61
288.15,288.15,1886.7046685728874,II,[0.8525258782101054],[0.9981809257371521],6.29,844.44
289.25,289.25,1885.5967052987423,II,[0.8712932327238093],[0.9984393067299075],6.2,847.32
290.25,290.25,1884.5683786330276,II,[0.8888730105942452],[0.9986735718378563],6.12,850.01
290.75,290.75,1884.046688637252,II,[0.897793509611675],[0.998789663609766],6.08,851.38
291.15,291.15,1883.6257220494053,II,[0.9049686663219214],[0.9988817174176331],6.05,852.48
