T (K),T Inhibited (K),P (MPa),Structure,Small Cage Occupancy,Large Cage Occupancy,Hydration Number,Hydrate Density (kg/m3)
271.35,271.35,10.252590086198815,II,[0.9215044765467552],[0.9548699662137411],6.08,1015.95
271.75,271.75,10.31863536739929,II,[0.9204642924277026],[0.954365410399426],6.08,1015.68
271.95,271.95,10.351687378450785,II,[0.9199375810451288],[0.9541098720437122],6.08,1015.55
272.15,272.15,10.384758478829736,II,[0.9194063962562603],[0.9538521283509602],6.09,1015.41
272.35,272.35,10.417848299591224,II,[0.9188700584359872],[0.9535917803304916],6.09,1015.27
272.55,272.55,10.450956471234099,II,[0.9183297829901484],[0.9533295503585381],6.09,1015.14
272.85,272.85,11.699740976504124,II,[0.9175094940360237],[0.9529312095134946],6.1,1015.35
273.15,273.15,12.045168706100954,II,[0.9258016255445086],[0.9578888469763197],6.05,1017.18
273.65,273.65,12.648190809713633,II,[0.9277815320257752],[0.9591725907458274],6.04,1017.72
274.15,274.15,13.287596795196606,II,[0.9297345602319641],[0.9604312039345236],6.03,1018.27
274.65,274.65,13.966197823433582,II,[0.9316631618165748],[0.9616663843935287],6.02,1018.83
274.85,274.85,14.249292420108716,II,[0.9324277179916284],[0.9621539278070487],6.01,1019.06
275.15,275.15,14.687070159812423,II,[0.9335685432092797],[0.9628790854638146],6.01,1019.4
275.85,275.85,15.773781212672231,II,[0.9362007698862425],[0.9645416873809451],5.99,1020.21
276.75,276.75,17.319271172922086,II,[0.9395314927567243],[0.9666238679404848],5.97,1021.29
277.85,277.85,19.469960445962784,II,[0.9435330704282924],[0.9690926943000713],5.95,1022.68
278.15,278.15,20.11305364158866,II,[0.9446133924903198],[0.969752960817888],5.95,1023.08
278.45,278.45,20.78272240453613,II,[0.9456893191737086],[0.9704078813562523],5.94,1023.49
278.55,278.55,21.012083812441066,II,[0.9460472083800842],[0.9706251305222645],5.94,1023.62
279.15,279.15,22.45641624548456,II,[0.9481856077497487],[0.9719170215458853],5.93,1024.46
280.15,280.15,25.14970759483123,II,[0.9517225018841996],[0.974030275176825],5.91,1025.96
281.25,281.25,28.59449556151638,II,[0.9555823607972128],[0.97630281888735],5.89,1027.76
281.75,281.75,30.35411865865974,II,[0.9573286137703945],[0.9773193693251502],5.88,1028.64
281.95,281.95,31.095595407962737,II,[0.9580258596155107],[0.9777232462558616],5.87,1029.0
283.25,283.25,36.50623832479319,II,[0.9625419987553013],[0.980311504166442],5.85,1031.57
283.45,283.45,37.43936695483794,II,[0.9632343815906144],[0.9807043694719335],5.85,1032.0
283.75,283.75,38.89517383721925,II,[0.9642714143255814],[0.9812902846859549],5.84,1032.66
284.15,284.15,40.94638150949146,II,[0.9656512593670625],[0.982066035256668],5.84,1033.57
285.25,285.25,47.32161005117233,II,[0.9694258319123872],[0.9841658305450497],5.82,1036.33
286.25,286.25,54.216680370089556,II,[0.9728215226502336],[0.9860273806188418],5.8,1039.2
286.35,286.35,54.972820842005056,II,[0.9731586040376834],[0.9862107703838763],5.8,1039.5
287.25,287.25,62.40584430892051,II,[0.9761661988868959],[0.987835974799059],5.78,1042.47
287.35,287.35,63.30733290419687,II,[0.9764970213626339],[0.9880135309704443],5.78,1042.83
288.15,288.15,71.14316252891958,II,[0.9791143516670965],[0.9894098914566223],5.77,1045.85
289.25,289.25,84.05444648682305,II,[0.9826069860692389],[0.9912501806684076],5.75,1050.66
290.25,290.25,98.5660950780978,II,[0.9856416890129097],[0.9928278476211402],5.74,1055.88
290.75,290.75,107.09386752813481,II,[0.9870968974946005],[0.9935773011673236],5.73,1058.86
291.15,291.15,114.66390386266077,II,[0.9882270892927804],[0.994156167077633],5.72,1061.46
